playerID,specific_player_position,player_position,player_position_class
2,LM,WM,Midfield
6,GK,GK,GoalKeeper
11,CM,CM,Midfield
16,CM,CM,Midfield
27,CAM,CAM,Midfield
28,GK,GK,GoalKeeper
41,CM,CM,Midfield
58,CDM,DM,Midfield
61,RW,WA,Attack
80,CM,CM,Midfield
158,LB,FB,Defence
164,CM,CM,Midfield
185,GK,GK,GoalKeeper
195,ST,CF,Attack
201,CM,CM,Midfield
241,LM,WM,Midfield
244,RB,FB,Defence
245,CDM,DM,Midfield
246,CM,CM,Midfield
249,CDM,DM,Midfield
250,CM,CM,Midfield
268,GK,GK,GoalKeeper
269,CM,CM,Midfield
330,ST,CF,Attack
388,CB,CB,Defence
450,ST,CF,Attack
492,CB,CB,Defence
496,CM,CM,Midfield
552,ST,CF,Attack
560,ST,CF,Attack
595,CM,CM,Midfield
599,CF,CF,Attack
603,GK,GK,GoalKeeper
607,CB,CB,Defence
614,CDM,DM,Midfield
636,ST,CF,Attack
642,ST,CF,Attack
646,CDM,DM,Midfield
657,CDM,DM,Midfield
684,GK,GK,GoalKeeper
694,CDM,DM,Midfield
722,LWB,WB,Defence
760,RWB,WB,Defence
766,CB,CB,Defence
768,CB,CB,Defence
805,GK,GK,GoalKeeper
806,GK,GK,GoalKeeper
838,RM,WM,Midfield
853,CM,CM,Midfield
889,CM,CM,Midfield
899,GK,GK,GoalKeeper
942,ST,CF,Attack
953,CB,CB,Defence
965,ST,CF,Attack
1041,RM,WM,Midfield
1046,CM,CM,Midfield
1075,ST,CF,Attack
1085,CB,CB,Defence
1088,CB,CB,Defence
1099,ST,CF,Attack
1102,GK,GK,GoalKeeper
1109,CB,CB,Defence
1111,CB,CB,Defence
1131,CB,CB,Defence
1173,ST,CF,Attack
1175,RB,FB,Defence
1177,CB,CB,Defence
1178,CB,CB,Defence
1179,GK,GK,GoalKeeper
1183,CB,CB,Defence
1184,CB,CB,Defence
1198,ST,CF,Attack
1210,CDM,DM,Midfield
1219,GK,GK,GoalKeeper
1221,GK,GK,GoalKeeper
1222,RM,WM,Midfield
1229,LB,FB,Defence
1235,CAM,CAM,Midfield
1238,CF,CF,Attack
1256,CAM,CAM,Midfield
1257,CF,CF,Attack
1275,CAM,CAM,Midfield
1277,CM,CM,Midfield
1283,CAM,CAM,Midfield
1289,GK,GK,GoalKeeper
1323,CB,CB,Defence
1373,LB,FB,Defence
1393,ST,CF,Attack
1408,RWB,WB,Defence
1412,CB,CB,Defence
1419,CDM,DM,Midfield
1443,LM,WM,Midfield
1479,CDM,DM,Midfield
1517,CB,CB,Defence
1518,ST,CF,Attack
1539,CB,CB,Defence
1551,RW,WA,Attack
1565,CB,CB,Defence
1595,CDM,DM,Midfield
1605,LM,WM,Midfield
1611,CB,CB,Defence
1625,CF,CF,Attack
1637,CAM,CAM,Midfield
1647,CAM,CAM,Midfield
1668,CDM,DM,Midfield
1672,CDM,DM,Midfield
1677,GK,GK,GoalKeeper
1678,ST,CF,Attack
1731,LM,WM,Midfield
1737,LM,WM,Midfield
1742,ST,CF,Attack
1747,GK,GK,GoalKeeper
1777,CDM,DM,Midfield
1803,CF,CF,Attack
1860,LB,FB,Defence
1880,LB,FB,Defence
1889,CDM,DM,Midfield
1983,CB,CB,Defence
2002,CM,CM,Midfield
2062,CM,CM,Midfield
2091,LB,FB,Defence
2115,LM,WM,Midfield
2116,CM,CM,Midfield
2128,LB,FB,Defence
2135,ST,CF,Attack
2138,RM,WM,Midfield
2141,ST,CF,Attack
2147,GK,GK,GoalKeeper
2151,RM,WM,Midfield
2152,CAM,CAM,Midfield
2153,CAM,CAM,Midfield
2155,ST,CF,Attack
2162,GK,GK,GoalKeeper
2164,LM,WM,Midfield
2172,CB,CB,Defence
2181,GK,GK,GoalKeeper
2196,GK,GK,GoalKeeper
2204,ST,CF,Attack
2208,ST,CF,Attack
2231,ST,CF,Attack
2235,CDM,DM,Midfield
2264,ST,CF,Attack
2335,ST,CF,Attack
2392,ST,CF,Attack
2431,GK,GK,GoalKeeper
2454,CB,CB,Defence
2488,CB,CB,Defence
2492,LB,FB,Defence
2506,CF,CF,Attack
2518,LWB,WB,Defence
2572,CF,CF,Attack
2587,ST,CF,Attack
2622,CAM,CAM,Midfield
2629,CM,CM,Midfield
2651,GK,GK,GoalKeeper
2655,CDM,DM,Midfield
2742,LM,WM,Midfield
2769,RB,FB,Defence
2799,CB,CB,Defence
2823,LM,WM,Midfield
2837,CM,CM,Midfield
2956,CM,CM,Midfield
2992,GK,GK,GoalKeeper
3041,RM,WM,Midfield
3078,RB,FB,Defence
3081,GK,GK,GoalKeeper
3148,CM,CM,Midfield
3174,GK,GK,GoalKeeper
3189,CAM,CAM,Midfield
3216,CB,CB,Defence
3235,CB,CB,Defence
3246,LW,WA,Attack
3264,CM,CM,Midfield
3281,CM,CM,Midfield
3325,RB,FB,Defence
3337,GK,GK,GoalKeeper
3363,LB,FB,Defence
3364,GK,GK,GoalKeeper
3395,LM,WM,Midfield
3448,CB,CB,Defence
3455,GK,GK,GoalKeeper
3484,CB,CB,Defence
3492,CDM,DM,Midfield
3563,RWB,WB,Defence
3622,CB,CB,Defence
3647,CM,CM,Midfield
3654,CDM,DM,Midfield
3665,CAM,CAM,Midfield
3712,GK,GK,GoalKeeper
3721,CB,CB,Defence
3765,CB,CB,Defence
3772,RB,FB,Defence
3790,CB,CB,Defence
3801,CB,CB,Defence
3813,GK,GK,GoalKeeper
3869,GK,GK,GoalKeeper
3912,ST,CF,Attack
3973,ST,CF,Attack
3974,GK,GK,GoalKeeper
4001,GK,GK,GoalKeeper
4006,RB,FB,Defence
4077,LM,WM,Midfield
4083,CDM,DM,Midfield
4086,CB,CB,Defence
4098,CM,CM,Midfield
4105,CAM,CAM,Midfield
4110,LB,FB,Defence
4111,CB,CB,Defence
4114,CB,CB,Defence
4155,LW,WA,Attack
4173,RB,FB,Defence
4190,LB,FB,Defence
4202,CDM,DM,Midfield
4205,CF,CF,Attack
4238,LB,FB,Defence
4240,CM,CM,Midfield
4246,GK,GK,GoalKeeper
4323,GK,GK,GoalKeeper
4353,CDM,DM,Midfield
4360,CB,CB,Defence
4381,CDM,DM,Midfield
4421,CM,CM,Midfield
4459,GK,GK,GoalKeeper
4495,CDM,DM,Midfield
4498,CM,CM,Midfield
4505,CM,CM,Midfield
4514,CDM,DM,Midfield
4556,ST,CF,Attack
4596,ST,CF,Attack
4600,CB,CB,Defence
4633,LB,FB,Defence
4667,GK,GK,GoalKeeper
4695,CB,CB,Defence
4724,CB,CB,Defence
4731,CM,CM,Midfield
4732,CB,CB,Defence
4739,GK,GK,GoalKeeper
4769,CF,CF,Attack
4806,LM,WM,Midfield
4832,CM,CM,Midfield
4858,CDM,DM,Midfield
4864,GK,GK,GoalKeeper
4873,CB,CB,Defence
4985,CAM,CAM,Midfield
4999,GK,GK,GoalKeeper
5047,LB,FB,Defence
5060,CF,CF,Attack
